Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (IDR),Impressions,Impressions click-through rate (%)
Total,,,,6351,"1100,3371",7,"92536,884",98007,"3,59"
GEONnGNIrZQ,Hubunganmu Melelahkan… Atau Egomu yang Belum Selesai? – Dr. Fahruddin Faiz,"Jul 25, 2026",2663,1999,"432,0753",11,"43911,007",35803,"4,56"
QuHHAVZH7xw,Pernikahan Jadi Membosankan? Ini Penjelasannya #shorts,"Jul 21, 2026",78,1004,"4,0109",2,"110,885",46,"2,17"
s62sPdztHZk,Kamu Tidak Perlu Sempurna… Cukup Mulai dari Hal Kecil – Dr. Fahruddin Faiz,"Aug 8, 2026",5937,991,"351,2762",6,"27416,004",22116,"3,6"
XYibJGEeP58,Rahasia Berhenti Merusak Diri Setelah Banyak Salah – Dr. Fahruddin Faiz,"Jul 28, 2026",2813,411,"85,5697",0,"6080,793",7303,"4,24"
lc_x48-8cNc,Mengapa Hidupmu Masih Layak Dijalani… Meski Banyak Masalah?,"Jul 31, 2026",2835,394,"74,5821",3,"8137,639",10813,"2,88"
_OVexKmZsZU,Arti Cinta yang Sebenarnya #shorts,"Jul 22, 2026",59,210,"0,2349",0,"11,431",57,0
onV_DNPd5pc,"Kamu Tertarik, Nafsu, atau Cinta? #shorts","Jul 20, 2026",67,188,"0,2828",0,"10,482",51,0
v6c4IFz3kA8,Mencari Tuhan ke Mana-mana… Kenapa Tidak Ketemu Juga?,"Aug 6, 2026",6541,162,"29,9574",1,"1545,853",9104,"1,31"
EbEWORsb7xw,Hidupmu Terasa Stagnan? Mungkin Kamu Belum Melakukan Ini…,"Aug 2, 2026",3208,132,"24,9445",0,"1684,693",6595,"1,44"
PgWMhxkCMVg,Rumus Ajaib Cinta #shorts,"Jul 24, 2026",56,127,"0,3379",0,"11,079",48,"2,08"
