Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (IDR),Impressions,Impressions click-through rate (%)
Total,,,,126312,"60910,0383",441,"3025426,358",1405877,"6,17"
seNvo62vmK4,Filsafat Jawa: Kenapa Semar Adalah Cermin Tuhan?,"Jul 17, 2026",6392,37011,"16727,1617",178,"893533,535",611655,"4,92"
wbjG6rNxJ_E,Menghadapi Zaman Edan: Rahasia Ronggowarsito Agar Jiwa Tetap Waras,"Jul 24, 2026",5926,7869,"4275,7905",20,"187196,017",91510,"6,73"
CU_GY9k2xDc,Jangan Sampai Kebencian Orang Lain Tinggal di Dalam Dirimu,"Jul 3, 2026",6761,6690,"4120,8355",26,"254533,92",77466,"6,6"
xVaguG1D8ps,Guru Sejati: Cara Mendengar Suara Hati di Tengah Kebisingan Dunia,"Jul 31, 2026",6080,5616,"3530,0312",16,"170732,081",61042,"7,34"
BeiVcg-VKUU,Retakan Itu Emas: Belajar dari Kintsugi untuk Sembuh dari Luka Masa Lalu,"Aug 12, 2026",6387,5259,"3166,114",18,"169297,498",46472,"9,83"
4jaKc6WPkpU,Kenapa Kita Sering Cemas? Imam Syafi'i Menjawab,"Jul 26, 2026",7112,5223,"3523,1839",11,"190923,536",56575,"7,27"
Xok-EdMIfIE,Umar bin Khattab & Rahasia Hidup Tenang di Tengah Kekuasaan,"Jul 19, 2026",6931,5082,"3284,68",12,"151653,753",61339,"6,65"
7q66_IGr0aI,Kenapa Sering Cemas dalam Hubungan? - Paradoks Pernikahan,"Jul 15, 2026",6481,3210,"1564,2997",12,"118291,621",39425,"6,06"
N6iZ1UarhUE,Jengis Khan & Rahasia Kepemimpinan: Kenapa Kamu Harus Menaklukkan Egomu?,"Aug 2, 2026",6373,3186,"1885,2948",7,"71945,597",35558,"6,75"
9XZj0dX6dSM,Kenapa Sahabat Terbaikmu Justru Hadir dalam Keheningan? Konfusius Menjawab,"Jul 5, 2026",6625,3127,"2042,7332",4,"105335,108",28338,"7,85"
JRYPhBArOFM,Rasa Hampa Itu Karena Kamu Terlalu Ambisius — Belajarlah dari Filosofi Ikiga,"Jul 29, 2026",6750,3053,"1925,514",5,"87955,741",35752,"6,88"
HoWtI-zIJtU,Berhenti Mengejar Kesempurnaan: Rahasia Hidup Tenang ala Jepang,"Aug 5, 2026",6710,2753,"1770,2158",9,"90469,828",30643,"7,2"
