Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,8979,"48,2889",11,454,"5,73"
cxOvBZud49c,Rahasia Waktu yang Hilang #shorts,"Jul 29, 2026",56,1098,"6,3884",4,13,"7,69"
XOTj70kc1kc,Mencari Barokah dengan Cara Unik #shorts,"Jul 20, 2026",63,1052,"5,4993",0,19,"10,53"
FQOglT84oTM,Tangan yang Menyambung ke Rasulullah #shorts,"Jul 30, 2026",61,972,"5,1214",0,4,25
5GOJnhjVwBw,Cara Cepat Masuk Surga #shorts,"Jul 22, 2026",35,926,"3,7056",2,29,"3,45"
I5j2YcFsTbg,Dapur Cantik Tapi Tidak Berkah #shorts,"Jul 31, 2026",61,880,"6,4436",2,6,"16,67"
ReqBj-APqVE,Siapkan Jawabanmu di Alam Kubur #shorts,"Jul 19, 2026",52,794,"4,3831",0,13,"7,69"
Pg1BwhO1QNw,Pagi Tobat Sore Kumat? #shots,"Jul 25, 2026",61,592,"4,4455",1,8,"12,5"
iy-9pyWYHgs,Kenapa Hubunganmu Bermasalah? #shorts,"Aug 3, 2026",65,528,"1,7009",0,4,25
MKvPPAcobL0,Jangan Marah Saat Dinasihati #shorts,"Jul 26, 2026",55,516,"1,8361",0,10,20
WxQOnvfxgNw,Rahasia Kiai Khatam 17 Kitab Sehari #shorts,"Aug 8, 2026",64,486,"3,1221",0,4,0
wmfyhThD-n4,Jangan Jadi Kolektor Pengajian #shorts,"Aug 1, 2026",62,420,"1,158",0,4,25
rcgi3wOruLU,Tetap Semangat Ibadah! #shorts,"Jul 23, 2026",38,413,"1,6899",1,18,0
uk7W-0pAA-o,Cinta Kiai Tapi Perilaku Jauh? #shorts,"Aug 7, 2026",82,164,"0,6128",0,7,"14,29"
zoPLLW73RAs,Cara Ampuh Agar Anak Rajin Salat #shorts,"Jul 18, 2026",72,71,"0,3407",0,14,0
CmG1tlv722A,Siapa Teman Sekamarmu di Neraka? #short,"Jul 2, 2026",59,17,"0,2608",0,108,"0,93"
tt7dEzH5Fd0,Jangan Jadi Tuhan bagi Orang Lain #short,"Jul 11, 2026",75,5,"0,029",0,30,"3,33"
cbV4ayryLgM,Hati-hati dengan Mental Miskin #short,"Jun 21, 2026",58,5,"0,0643",0,5,0
z3zCinhlTNo,Lebih Buruk dari Zina: Akibat Fatal Sengaja Tinggal Shalat - Gus Kautsar,"Jul 3, 2026",2571,5,"0,811",0,25,20
m2zg8vBthaE,Masih Maksiat Tapi Ingin Salat #short,"Jul 6, 2026",60,3,"0,0417",0,6,0
mrhZxHBqP2I,Hadis Pengingat untuk Kaum Wanita #short,"Jun 28, 2026",43,3,"0,0256",0,5,0
Mo3d2Vvd7IY,Vitamin Terbaik untuk Seorang Suami #short,"Jun 26, 2026",45,3,"0,0266",0,5,0
iYZsyrk-Jwk,Penyakit Hijrah yang Paling Berbahaya #short,"Jul 1, 2026",60,3,"0,0338",0,8,0
qXnDzN5hwc8,Kunci Rumah Paling Nyaman di Kubur #short,"Jun 20, 2026",51,3,"0,0304",0,5,0
_qPuD8FGRgs,Alasan Kenapa Hatimu Sering Sakit #short,"Jun 24, 2026",38,3,"0,0262",0,6,"16,67"
nlE_ZtnWPGk,Dosa yang Lebih Buruk dari Zina & Pembunuhan #short,"Jun 30, 2026",53,2,"0,0246",0,5,0
SEyPgwYEEu8,Ngerinya Alam Kubur Bagi Orang yang Lalai #shorts,"Jul 13, 2026",50,2,"0,0189",0,8,0
hDHn_BHYJPo,Teman Setia di Kubur Bagi Pelalai Salat #shorts,"Jul 14, 2026",52,2,"0,0168",0,7,0
KuX9xmtF1V8,Mengapa Waktu Terasa Begitu Cepat? Rahasia Keberkahan yang Hilang,"Jul 24, 2026",1304,2,"0,3649",0,17,"11,76"
UQxTJ7_bzVc,Rahasia Rezeki Berkah Lewat Salat #shorts,"Jul 15, 2026",56,2,"0,0159",0,11,0
ZFp0ZAj8s5w,Anak Belum Makan Lebih Menakutkan dari Pocong #short,"Jun 22, 2026",61,2,"0,0191",0,8,0
rCzEcaH4sjs,Cita Rasa Takarub: Kunci Kedekatan dengan Allah,,1376,1,"0,0002",0,0,
3wn4gy6dbgE,Jaga Salatmu: Inilah yang Terjadi di Alam Kubur Jika Kita Lalai,"Jul 17, 2026",2219,1,"0,0189",0,7,0
9yJ61Kl7kco,80 Orang Hendak Bunuh Nabi… Tapi Dimaafkan? Tafsir Menggetarkan Gus Baha | Al-Fath 24-29,"Jul 28, 2026",5229,1,"0,0037",0,10,10
FHqFMTELTls,9 TAHAP JIWA Menuju Cinta Allah: Jalan Sunyi Para Pecinta Ilahi | Ngaji Al-Hikam – Dr.Fahruddin Faiz,"Nov 6, 2025",4988,1,"0,0028",0,2,50
5jiJYmr92Ig,Kenapa Kita Lelah Saat Mengaji? Rahasia Ketenangan Ulama,"Aug 2, 2026",1459,1,"0,0062",0,10,10
0q3FoHK6UqI,Rahasia Tenang di Kubur: Amalan Ringan yang Disepelekan - Gus Kautsar,"Jun 21, 2026",1833,,,,5,0
o1I2F_DfhFk,Jangan Putus Asa Saat Merasa Jadi Manusia Terhina - Gus Kautsar,"Jun 19, 2026",2325,,,,5,0
EP_fBkKSVao,Bahaya! Ini Teman Sekamarmu di Neraka Jika Meninggalkan Salat,"Jul 12, 2026",2007,,,,3,0
